symbol,ts,price,size
AAPL,1000.000,190.10,100
AAPL,1000.050,190.15,50
AAPL,1000.100,190.05,200
AAPL,1000.150,190.20,75
AAPL,1000.200,190.25,120
AAPL,1000.250,190.18,90
AAPL,1000.300,190.30,110
AAPL,1000.350,190.40,60
AAPL,1000.400,190.35,80
AAPL,1000.450,190.50,150
AAPL,1000.500,190.45,70
AAPL,1000.550,190.55,95
AAPL,1000.600,190.60,130
AAPL,1000.650,190.52,85
AAPL,1000.700,190.70,100
AAPL,1000.750,190.65,55
AAPL,1000.800,190.80,140
AAPL,1000.850,190.75,65
AAPL,1000.900,190.90,105
AAPL,1000.950,190.85,88
MSFT,1000.000,410.20,80
MSFT,1000.050,410.35,60
MSFT,1000.100,410.10,100
MSFT,1000.150,410.50,70
MSFT,1000.200,410.40,90
MSFT,1000.250,410.65,55
MSFT,1000.300,410.55,110
MSFT,1000.350,410.80,75
MSFT,1000.400,410.70,95
MSFT,1000.450,411.00,120
MSFT,1000.500,410.90,65
MSFT,1000.550,411.20,85
MSFT,1000.600,411.10,100
MSFT,1000.650,411.35,70
MSFT,1000.700,411.25,90
MSFT,1000.750,411.50,60
MSFT,1000.800,411.40,110
MSFT,1000.850,411.70,80
MSFT,1000.900,411.60,95
MSFT,1000.950,411.90,105
